0,49
1,49
2,50
3,49
4,50
5,49
6,49
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,51
19,50
20,50
21,51
22,50
23,51
24,50
25,50
26,50
27,50
28,50
29,50
30,51
31,51
32,52
33,52
34,52
35,52
36,52
37,52
38,52
39,51
40,51
41,50
42,51
43,50
44,50
45,50
46,49
47,50
48,49
49,50
50,50
51,50
52,50
53,50
54,49
55,50
56,50
57,49
58,50
59,49
60,50
61,49
62,49
63,49
64,49
65,48
66,49
67,49
68,49
69,49
70,50
71,50
72,50
73,50
74,50
75,50
76,51
77,51
78,51
79,51
80,51
81,51
82,51
83,50
84,51
85,50
86,50
87,51
88,51
89,51
90,51
91,51
92,51
93,51
94,52
95,51
96,51
97,51
98,51
99,51
100,50
101,50
102,51
103,51
104,51
105,51
106,50
107,51
108,51
109,50
110,51
111,51
112,51
113,51
114,51
115,51
116,51
117,51
118,50
119,50
120,50
121,50
122,50
123,50
124,50
125,51
126,51
127,51
128,51
129,51
130,50
131,49
132,50
133,50
134,50
135,49
136,50
137,50
138,49
139,49
140,49
141,48
142,49
143,48
144,48
145,48
146,48
147,48
148,47
149,47
150,46
151,46
152,45
153,45
154,44
155,44
156,44
157,44
158,43
159,44
160,43
161,43
162,43
163,43
164,42
165,42
166,42
167,43
168,43
169,43
170,42
171,43
172,42
173,42
174,42
175,42
176,42
177,42
178,42
179,41
180,41
181,42
182,42
183,42
184,42
185,42
186,42
187,43
188,43
189,44
190,45
191,45
192,45
193,46
194,46
195,47
196,47
197,48
198,47
199,48
200,48
201,49
202,49
203,49
204,49
205,50
206,50
207,50
208,50
209,50
210,50
211,50
212,50
213,49
214,50
215,50
216,50
217,51
218,51
219,51
220,51
221,51
222,51
223,51
224,51
225,51
226,52
227,51
228,53
229,52
230,53
231,53
232,53
233,53
234,53
235,53
236,53
237,53
238,53
239,53
240,53
241,53
242,54
243,54
244,54
245,54
246,54
247,53
248,54
249,53
250,54
251,54
252,54
253,54
254,53
255,54
256,53
257,54
258,54
259,53
260,53
261,53
262,52
263,52
264,51
265,51
266,50
267,50
268,49
269,48
270,49
271,48
272,48
273,47
274,47
275,46
276,46
277,45
278,46
279,45
280,45
281,45
282,45
283,44
284,45
285,45
286,45
287,44
288,44
289,44
290,43
291,43
292,43
293,43
294,44
295,43
296,43
297,43
298,43
299,43
300,42
301,42
302,43
303,42
304,42
305,42
306,42
307,42
308,43
309,43
310,44
311,43
312,43
313,43
314,43
315,44
316,43
317,43
318,43
319,43
320,43
321,44
322,43
323,44
324,44
325,43
326,43
327,43
328,42
329,42
330,42
331,41
332,42
333,41
334,41
335,41
336,40
337,40
338,40
339,40
340,41
341,40
342,40
343,40
344,40
345,40
346,40
347,40
348,40
349,40
350,40
351,40
352,40
353,40
354,40
355,40
356,40
357,40
