,1,2,3,4,5,6,7,8,9,10,11
1,12,0,9,0,2,43,0,1,0,2,9
2,12,0,8,0,2,45,0,1,0,2,9
3,12,0,8,0,2,45,0,1,0,2,9
4,12,0,8,0,2,45,0,1,0,2,9
5,12,0,9,0,2,45,0,1,0,2,9
6,12,0,9,0,2,45,0,1,0,2,9
7,12,0,9,0,2,45,0,1,0,2,8
8,13,0,9,0,2,47,0,1,0,1,7
9,12,0,9,0,2,46,0,1,0,1,8
10,12,0,9,0,2,45,0,1,0,1,8
11,12,0,9,0,2,46,0,1,0,1,8
12,12,0,10,0,2,45,0,1,0,1,8
13,12,0,10,0,2,46,0,1,0,1,7
14,11,0,10,0,2,47,0,1,0,1,7
15,11,0,9,0,2,50,0,1,0,1,7
16,11,0,9,0,2,48,0,1,0,2,8
17,11,0,9,0,2,48,0,1,0,2,8
18,11,0,10,0,2,47,0,1,0,2,9
19,12,0,10,0,2,47,0,1,0,2,9
20,12,0,10,0,2,48,0,1,0,2,9
21,12,0,10,0,2,46,0,1,0,1,10
22,12,0,10,0,2,46,0,1,0,2,10
23,12,0,10,0,2,45,0,1,0,2,9
24,13,0,9,0,2,46,0,1,0,2,9
25,13,0,9,0,2,47,0,2,0,2,9
26,12,0,10,0,2,45,0,2,0,2,8
27,12,0,8,0,2,46,0,2,0,2,8
28,12,0,7,0,2,47,0,2,0,3,8
29,12,0,5,0,2,47,0,2,0,3,8
30,12,0,5,0,2,47,0,2,0,3,8
31,13,0,6,0,2,49,0,1,0,3,8
32,13,0,7,0,2,47,0,1,0,3,8
33,14,0,7,0,2,47,0,1,0,3,8
34,15,0,7,0,2,47,0,1,0,3,8
35,16,0,9,0,2,46,0,1,0,2,6
36,17,0,9,0,2,46,0,1,0,2,6
37,16,0,8,0,2,47,0,1,0,2,7
38,15,0,8,0,2,47,0,1,0,2,7
39,15,0,8,0,1,46,0,1,0,2,9
40,14,0,8,0,1,46,0,1,0,2,9
41,14,0,6,0,1,48,0,1,0,2,9
42,13,0,7,0,1,47,0,1,0,2,8
43,13,0,7,0,1,45,0,2,0,2,9
44,12,0,9,0,1,44,0,2,0,1,9
45,13,0,9,0,0,44,0,2,0,1,8
46,13,0,9,0,0,42,0,2,0,2,8
47,13,0,9,0,0,40,0,2,0,2,8
48,13,0,9,0,0,40,0,2,0,2,8
49,13,0,10,0,0,39,0,2,0,2,7
50,12,0,9,0,0,39,0,2,0,3,8
51,12,0,9,0,0,38,0,2,0,2,9
52,13,0,9,0,0,39,0,2,0,2,9
53,13,0,9,0,0,38,0,2,0,2,9
54,13,0,10,0,0,36,0,2,0,2,10
55,13,0,10,0,0,36,0,3,0,2,10
56,13,0,10,0,0,38,0,3,0,2,9
57,13,0,10,0,0,38,0,3,0,1,9
58,10,0,11,0,0,40,0,3,0,1,9
59,9,0,12,0,0,40,0,3,0,1,10
60,9,0,11,0,1,38,0,3,0,2,9
61,9,0,11,0,1,38,0,3,0,2,9
62,10,0,11,0,1,35,0,3,1,2,10
63,10,0,11,0,1,35,0,3,1,2,10
64,11,0,11,0,1,34,0,3,1,2,10
65,8,0,10,0,1,37,0,3,1,2,12
66,8,0,10,0,1,37,0,3,1,2,13
67,8,0,9,0,2,38,0,3,1,2,14
68,8,0,9,0,2,38,0,3,1,2,14
69,8,0,11,0,2,38,0,3,1,2,14
70,8,0,10,0,2,38,0,3,1,2,14
71,9,0,10,0,2,40,0,3,1,2,14
72,9,0,10,0,2,41,0,3,1,2,14
73,9,0,10,0,2,42,0,3,1,2,14
74,9,0,10,0,2,41,0,3,1,2,14
75,9,0,11,0,2,41,0,3,1,2,15
76,8,0,11,0,2,41,0,2,1,3,15
77,7,0,11,0,2,42,0,2,1,2,15
78,6,0,9,0,2,42,0,4,1,2,15
79,6,0,8,0,2,42,0,4,1,3,13
80,7,0,9,0,1,42,0,4,1,3,13
81,6,0,7,0,1,43,0,4,1,3,13
82,5,0,7,0,1,43,0,4,1,3,13
83,6,0,7,0,1,43,0,4,1,3,15
84,7,0,7,0,1,43,0,4,1,3,13
85,9,0,7,1,1,40,0,2,1,2,13
86,10,0,9,1,1,39,0,2,1,3,14
87,9,0,8,1,1,40,0,2,1,2,14
88,9,0,10,1,1,39,0,2,1,2,14
89,10,0,8,1,1,39,0,2,1,3,14
90,11,0,8,1,1,38,0,2,1,2,14
91,12,0,9,1,1,38,0,2,1,2,14
92,12,0,10,1,1,37,0,2,1,2,14
93,11,0,10,1,1,39,0,2,0,2,14
94,11,0,10,1,0,39,0,2,0,2,14
95,12,0,11,1,0,39,0,2,0,2,12
96,12,0,10,1,0,40,0,2,0,1,12
97,12,0,12,1,0,40,0,2,0,1,12
98,11,0,12,1,0,40,0,2,0,1,12
99,10,0,12,1,0,42,0,3,0,1,12
100,11,0,12,1,0,43,0,4,0,1,11
101,11,0,11,1,0,43,0,4,0,1,11
102,11,0,11,1,0,42,0,3,0,1,11
103,11,0,11,1,0,43,0,3,0,2,11
104,11,0,12,1,0,43,0,3,0,2,10
105,11,0,12,1,0,43,0,3,0,2,10
106,9,0,14,1,0,43,0,3,0,2,10
107,9,0,15,1,0,44,0,3,0,2,10
108,8,0,15,1,0,44,0,3,0,2,10
109,9,0,15,1,0,45,0,3,0,2,10
110,9,0,15,1,0,44,0,4,0,2,9
111,8,0,16,1,0,44,0,4,0,2,11
112,8,0,17,1,0,45,0,5,0,2,10
113,8,0,18,1,0,46,0,5,0,2,11
114,8,0,18,1,0,45,0,5,0,2,12
115,9,0,17,1,0,47,0,5,0,2,11
116,9,0,18,1,0,46,0,5,0,3,11
117,9,0,18,1,0,48,0,5,0,3,10
118,8,0,19,1,0,49,0,5,0,3,10
119,8,0,19,1,0,47,0,5,0,3,11
120,8,0,19,1,0,46,0,5,0,3,11
121,8,0,19,1,0,46,0,5,0,2,12
122,9,0,20,1,0,45,0,5,0,2,12
123,8,0,20,0,0,47,0,5,0,2,11
124,7,0,20,0,0,47,0,5,0,3,12
125,7,0,20,0,0,45,0,5,0,3,12
126,7,0,18,0,0,48,0,6,0,3,12
127,8,0,17,0,0,45,0,6,0,4,12
128,11,0,17,0,0,45,0,6,0,4,11
129,11,0,16,0,0,48,0,5,0,4,10
130,12,0,16,0,0,48,0,5,0,4,10
131,12,0,16,0,0,49,0,5,0,4,10
132,12,0,16,0,0,50,0,5,0,4,10
133,11,0,17,0,0,49,0,6,0,3,9
134,11,0,16,0,0,53,0,6,0,3,8
135,11,0,15,0,0,51,0,6,0,3,8
136,11,0,15,0,0,51,0,6,0,3,8
137,11,0,13,0,0,50,0,6,0,3,8
138,11,0,15,0,0,50,0,6,0,3,7
139,11,0,15,0,0,51,0,6,0,3,7
140,11,0,16,0,0,50,0,6,0,4,7
141,11,0,16,0,0,48,0,5,0,4,7
142,11,0,16,0,0,48,0,5,0,4,7
143,12,0,16,0,0,49,0,4,0,4,7
144,11,0,16,0,0,49,0,4,0,4,6
145,10,0,16,0,0,51,0,4,0,4,6
146,10,0,16,0,0,51,0,4,0,4,6
147,9,0,16,0,0,53,0,4,0,3,6
148,9,0,17,0,0,54,0,3,0,3,6
149,9,0,16,0,0,54,0,3,0,3,6
150,10,0,17,0,0,51,0,3,0,3,7
151,10,0,17,0,0,51,0,2,0,3,7
152,10,0,16,0,0,51,0,3,0,3,7
153,9,0,15,0,0,50,0,4,0,3,7
154,8,0,15,0,0,50,0,3,0,3,7
155,9,0,15,0,0,50,0,3,0,3,6
156,9,0,17,0,0,47,0,3,0,3,7
157,10,0,17,0,0,46,0,3,0,3,7
158,10,0,17,0,0,46,0,3,0,3,7
159,10,0,16,0,0,47,0,4,0,3,7
160,10,0,16,0,0,49,0,5,0,3,6
161,11,0,15,0,0,49,0,5,0,3,6
162,12,0,14,0,0,49,0,5,0,3,7
163,11,0,15,0,0,49,0,5,0,3,7
164,11,0,15,0,0,50,0,5,0,3,7
165,11,0,15,0,0,50,0,5,0,3,8
166,11,0,15,0,0,49,0,4,0,3,10
167,10,0,14,0,0,49,0,4,0,4,11
168,10,0,16,0,0,50,0,4,0,4,10
169,10,0,15,0,0,50,0,4,0,4,10
170,10,0,16,0,0,50,0,4,0,4,10
171,10,0,16,0,0,50,0,4,0,4,10
172,10,0,16,0,0,49,0,4,0,4,12
173,10,0,16,0,0,50,0,4,0,3,12
174,11,0,17,0,0,50,0,4,0,3,11
175,11,0,17,0,0,49,0,4,0,3,11
176,11,0,16,0,0,49,0,4,0,3,11
177,12,0,17,0,0,49,0,3,0,3,10
178,12,0,18,0,0,49,0,3,0,3,9
179,12,0,18,0,0,49,0,3,0,3,8
180,12,0,18,0,0,50,0,3,0,3,8
181,12,0,18,0,0,54,0,3,0,3,8
182,12,0,18,0,0,54,0,3,0,3,7
183,12,1,17,0,0,54,0,4,0,4,7
184,13,1,18,0,0,53,0,3,0,6,7
185,13,1,17,0,0,53,1,3,0,6,7
186,14,1,17,0,0,51,1,3,0,7,6
187,15,1,18,0,0,53,1,2,0,7,6
188,16,1,17,0,0,51,1,2,0,7,6
189,16,1,16,0,0,51,1,2,0,7,7
190,17,1,15,0,0,50,1,2,0,7,6
191,17,1,15,0,0,51,1,2,0,7,7
192,18,1,15,0,0,48,1,2,0,8,9
193,17,1,14,0,0,48,1,2,0,8,9
194,17,1,14,0,0,48,1,2,0,9,8
195,17,1,14,0,0,46,1,2,0,9,7
196,17,1,14,0,0,46,0,2,0,9,7
197,17,1,14,0,0,46,1,2,0,9,7
198,16,1,14,0,0,44,1,2,0,9,8
199,17,1,14,0,0,42,1,2,0,9,9
200,17,1,14,0,0,42,1,2,0,9,9
201,17,1,13,0,0,42,1,2,0,9,8
202,19,1,11,0,0,42,1,2,0,9,9
203,19,1,11,0,0,42,1,2,0,8,9
204,20,1,11,0,0,41,1,2,0,8,9
205,20,1,12,0,0,40,1,2,0,8,9
206,20,1,12,0,0,39,1,2,0,8,9
207,20,1,12,0,0,38,1,2,0,9,9
208,21,1,11,0,0,37,1,2,0,9,9
209,22,1,11,0,0,36,1,2,0,9,9
210,22,1,11,0,0,36,1,2,0,9,9
211,21,1,10,0,0,37,1,1,0,9,10
212,20,1,10,0,0,38,1,1,0,9,9
213,20,1,9,0,0,39,1,1,0,9,9
214,20,1,9,0,1,40,1,1,0,9,9
215,21,1,10,0,1,39,1,1,0,9,8
216,21,1,10,0,1,39,1,1,0,9,8
217,20,1,10,0,1,39,1,1,0,9,8
218,21,1,11,0,1,39,1,1,0,9,8
219,21,1,12,0,1,38,1,1,0,9,8
220,21,1,12,0,1,40,0,1,0,9,8
221,21,1,13,0,1,40,0,1,0,9,9
222,20,1,13,0,1,41,0,1,0,9,9
223,20,1,13,0,1,43,0,1,0,9,8
224,20,1,13,0,1,44,0,1,0,8,9
225,20,1,13,0,1,45,0,1,0,8,10
226,19,1,13,0,1,46,0,1,0,8,10
227,18,1,13,0,1,47,0,2,0,8,12
228,19,1,14,0,1,47,0,2,0,8,12
229,19,1,15,0,1,46,0,2,0,6,13
230,21,1,15,0,1,50,0,2,0,5,12
231,21,1,16,0,1,47,0,3,0,5,12
232,22,1,16,0,1,49,0,3,0,4,12
233,22,1,15,0,1,49,0,3,0,4,12
234,23,1,16,0,0,52,0,3,0,3,12
235,23,1,16,0,0,51,0,2,0,3,11
