,1,2,3,4,5,6,7,8,9,10,11
1,9,1,28,0,1,59,0,5,1,3,10
2,10,1,28,0,1,58,0,5,1,2,9
3,11,1,28,0,1,58,0,5,1,2,9
4,13,1,30,0,1,56,0,5,1,2,9
5,13,1,30,0,1,56,0,5,1,2,10
6,13,1,30,0,1,56,0,5,1,2,10
7,13,1,31,0,1,56,0,4,1,2,10
8,13,1,31,0,1,56,0,4,1,2,10
9,13,1,30,0,1,58,0,4,1,2,11
10,13,1,29,0,1,59,0,4,1,2,11
11,13,1,29,0,1,59,0,4,1,2,11
12,13,1,29,0,1,59,0,4,1,2,11
13,13,1,27,0,1,59,0,4,1,2,13
14,14,1,27,0,1,58,0,4,1,2,13
15,15,1,28,0,1,57,0,4,1,3,11
16,15,1,27,0,1,58,0,4,0,3,11
17,15,1,28,1,1,58,0,3,0,3,11
18,16,1,27,1,1,58,0,3,0,3,11
19,15,1,28,1,1,59,0,3,0,3,10
20,15,1,28,1,1,59,0,3,0,3,10
21,16,1,27,1,1,60,0,4,0,2,10
22,16,1,27,1,1,58,0,4,0,2,10
23,16,1,27,1,1,58,0,4,0,2,11
24,16,1,26,1,1,59,0,4,0,2,10
25,14,1,27,1,1,58,0,4,0,3,10
26,15,1,27,1,1,58,0,4,0,3,9
27,14,1,28,1,1,58,0,4,0,2,10
28,14,1,28,1,1,58,0,4,0,2,10
29,13,1,29,1,1,59,0,4,0,2,11
30,13,1,27,1,1,60,0,5,0,2,11
31,14,1,28,1,1,59,0,5,0,2,11
32,13,1,29,1,1,59,0,5,0,3,12
33,13,1,29,1,0,60,0,5,0,3,12
34,13,1,27,1,0,61,0,5,0,4,12
35,13,1,28,1,0,61,0,5,0,4,12
36,14,1,28,1,0,61,0,3,0,4,12
37,14,1,31,1,0,58,0,3,0,4,12
38,14,1,31,1,0,59,0,3,0,4,11
39,15,1,31,1,0,58,0,4,0,4,9
40,15,1,31,1,0,56,0,4,0,5,9
41,15,1,31,1,0,55,0,5,0,5,9
42,15,1,29,1,0,55,0,5,0,6,10
43,15,1,27,1,0,56,0,5,0,6,10
44,14,1,27,1,0,57,0,4,0,6,11
45,14,1,27,1,0,55,0,3,0,7,12
46,15,1,27,1,1,53,0,3,0,7,12
47,15,1,26,1,1,53,0,2,0,7,13
48,15,1,25,1,1,53,0,2,0,8,13
49,15,1,24,1,1,53,0,2,0,8,14
50,14,1,25,1,1,52,0,3,0,8,14
51,13,1,26,1,1,55,0,4,0,6,14
52,12,1,25,1,1,56,0,4,0,6,14
53,12,1,24,1,1,57,0,4,0,6,15
54,13,1,22,1,1,57,0,4,0,6,16
55,11,1,23,1,1,58,0,4,0,6,17
56,12,1,23,1,1,56,0,5,0,6,17
57,10,1,25,1,1,56,0,5,0,6,17
58,11,1,24,1,1,55,0,5,0,6,18
59,13,1,22,1,1,54,0,5,0,6,20
60,13,0,22,1,1,56,0,5,0,6,20
61,13,0,20,1,1,60,0,5,0,5,20
62,14,0,19,1,1,60,0,5,0,5,20
63,15,0,19,1,1,61,0,5,0,5,20
64,15,0,19,1,1,61,0,5,0,5,20
65,16,0,20,1,1,61,0,5,0,5,20
66,17,0,21,1,1,61,0,4,0,5,20
67,17,0,21,1,1,62,0,4,0,5,20
68,17,0,21,1,1,64,0,4,0,5,19
69,17,0,21,1,0,64,0,4,0,5,19
70,17,0,22,1,0,63,0,4,0,5,19
71,17,0,22,1,0,65,0,4,0,5,18
72,17,0,23,1,0,63,0,4,0,5,18
73,19,0,25,1,0,61,0,4,0,5,17
74,19,0,26,1,0,61,0,5,0,5,17
75,19,0,25,1,0,63,0,5,0,5,18
76,21,0,26,1,0,65,0,5,0,5,17
77,21,0,27,1,0,63,0,5,0,5,17
78,23,0,26,1,0,62,0,6,0,5,18
79,25,0,25,1,0,61,0,5,0,5,19
80,26,0,26,1,0,61,0,5,0,5,19
81,25,0,26,1,0,62,0,5,0,4,21
82,25,0,27,1,0,63,0,5,0,5,20
83,25,0,30,1,0,63,0,5,0,4,20
84,25,0,32,1,0,65,0,5,0,4,20
85,25,0,30,1,0,65,0,5,0,4,20
86,26,0,32,0,0,66,0,5,0,4,21
87,24,0,31,0,0,67,0,5,0,4,21
88,25,0,30,0,0,69,0,5,0,5,20
89,27,0,30,0,0,69,0,5,0,4,20
90,27,0,31,0,0,70,0,5,0,4,19
91,26,0,33,0,0,70,0,5,0,4,19
92,26,0,34,0,0,69,0,5,0,4,18
93,26,0,33,0,0,70,0,5,0,4,19
94,25,0,31,0,0,71,0,7,0,4,19
95,23,0,30,0,0,73,0,6,0,5,20
96,23,0,29,0,0,73,0,6,0,5,20
97,22,0,29,0,0,74,0,6,0,4,20
98,24,0,29,0,0,70,0,6,0,4,20
99,22,0,28,0,0,68,0,7,0,4,21
100,21,0,29,0,0,68,0,7,0,4,20
101,21,0,30,0,0,66,0,7,0,4,21
102,20,0,31,0,0,65,0,7,0,4,21
103,19,0,30,0,0,66,0,7,0,4,22
104,18,0,28,0,0,68,0,7,0,4,22
105,18,0,26,0,0,68,0,7,0,4,22
106,18,0,26,0,0,69,0,7,0,4,21
107,17,0,26,0,0,71,0,6,0,4,20
108,17,0,26,0,0,71,0,5,0,4,19
109,16,0,24,0,0,72,0,5,0,4,19
110,16,0,23,0,0,71,0,4,0,4,19
111,18,0,19,0,0,70,0,4,0,4,20
112,18,0,19,0,0,69,0,4,0,4,19
113,19,0,19,0,0,69,0,3,0,4,20
114,17,0,19,0,0,69,0,3,0,4,19
115,18,0,20,0,0,66,0,3,0,4,18
116,18,0,20,0,0,65,0,3,0,4,18
117,17,0,19,0,0,62,0,3,0,3,18
118,16,0,19,0,0,62,0,3,0,3,17
119,16,0,18,0,0,63,0,2,0,3,17
120,16,0,17,0,0,60,0,2,0,4,17
121,15,0,18,0,0,60,0,2,0,4,16
122,14,0,18,0,0,58,0,2,0,5,16
123,14,0,19,0,0,53,0,2,0,5,16
124,15,0,19,0,0,49,0,3,0,6,15
125,14,0,19,0,0,50,0,3,0,6,15
126,13,0,17,0,0,51,0,3,0,5,15
127,14,0,16,0,0,50,0,3,0,5,15
128,13,0,16,0,0,51,0,3,0,4,15
129,13,0,17,0,0,49,0,4,0,3,13
130,13,0,16,0,0,49,0,4,0,3,15
131,13,0,17,0,0,48,0,4,0,3,15
132,13,0,16,0,0,49,0,4,0,3,14
133,12,0,16,0,0,52,0,4,0,3,13
134,12,0,16,0,0,52,0,4,0,3,13
135,13,0,15,0,0,51,0,4,0,3,12
136,13,0,14,0,0,51,0,4,0,3,12
137,13,0,14,0,0,52,0,5,0,2,12
138,13,0,12,0,0,53,0,4,0,2,12
139,13,0,12,0,0,52,0,4,0,2,12
140,13,0,12,0,0,51,0,5,0,2,12
141,13,0,13,0,0,49,0,5,0,2,11
142,13,0,13,0,0,49,0,5,0,2,12
143,13,0,11,0,0,51,0,5,0,2,10
144,13,0,11,0,0,49,0,6,0,2,10
145,13,0,10,0,0,49,0,6,0,1,10
146,13,0,9,0,0,49,0,7,0,1,11
147,13,0,9,0,0,48,0,7,0,1,10
148,13,0,9,0,0,46,0,7,0,1,11
149,13,0,10,0,0,45,0,7,0,1,11
150,12,0,10,0,0,43,0,6,0,1,11
151,12,0,10,0,0,44,0,6,0,1,12
152,11,0,11,0,0,44,0,5,0,1,12
153,10,0,11,0,0,43,0,6,0,2,11
154,9,0,11,0,0,44,0,7,0,2,11
155,8,0,11,0,0,45,0,7,0,2,10
156,7,0,11,0,0,47,0,6,0,2,10
157,8,0,12,0,0,46,0,5,0,2,10
158,8,0,12,0,0,46,0,5,0,2,10
159,7,0,11,0,0,46,0,5,0,2,10
160,8,0,12,0,0,46,0,5,0,2,8
161,7,0,12,0,0,45,0,6,0,2,8
162,5,0,13,0,0,46,0,4,0,3,7
163,6,0,13,0,0,46,0,4,0,3,7
164,6,0,14,0,0,46,0,3,0,3,8
165,6,0,14,0,0,46,0,3,0,3,8
166,6,0,13,0,0,46,0,3,0,3,8
167,6,0,13,0,0,45,0,4,0,4,9
168,7,0,13,0,0,44,0,4,0,4,9
169,7,0,13,0,0,42,0,4,0,4,11
170,8,0,13,0,0,44,0,4,0,4,11
171,7,0,12,0,0,46,0,4,0,4,11
172,7,0,12,0,0,47,0,4,0,4,11
173,6,0,13,0,0,46,0,4,0,4,13
174,4,0,13,0,0,49,0,4,0,4,12
175,4,0,13,0,0,50,0,4,0,4,10
176,3,0,13,0,0,52,0,4,0,4,11
177,3,0,13,0,0,51,0,4,0,4,11
178,3,0,13,0,0,51,0,4,0,4,11
179,3,0,13,0,0,51,0,4,0,4,11
180,4,0,12,0,1,51,0,4,0,4,10
181,6,0,12,0,1,51,0,4,0,4,10
182,7,0,12,0,1,51,0,3,0,4,10
183,8,0,12,0,1,50,0,3,0,4,9
184,8,0,12,0,1,51,0,3,0,4,9
185,8,0,12,0,1,50,0,3,0,5,9
186,8,0,11,0,1,50,0,4,0,5,9
187,8,0,11,0,1,52,0,5,0,5,9
188,8,0,12,0,1,54,0,5,0,5,9
189,8,0,12,0,1,55,0,5,0,5,9
190,9,0,11,0,1,57,0,5,0,5,10
191,9,0,13,0,1,57,0,6,0,6,9
192,10,0,12,0,1,60,0,6,0,6,9
193,10,0,12,0,1,59,0,6,0,6,9
194,11,0,12,0,1,59,0,7,0,6,9
195,11,0,11,0,1,61,0,7,0,4,8
196,11,0,11,0,1,60,0,7,0,4,8
197,11,0,12,0,1,58,0,7,0,4,8
198,12,0,12,1,1,57,0,7,0,3,8
199,11,0,14,1,1,58,0,7,0,3,7
200,11,0,13,1,1,58,0,7,0,3,7
201,11,0,16,1,1,57,0,7,0,3,7
202,12,0,15,1,1,55,0,8,0,3,8
203,12,0,15,1,1,55,0,8,0,3,8
204,12,0,16,1,1,55,0,8,0,3,8
205,10,0,16,1,1,57,0,8,0,3,8
206,10,0,16,1,1,56,0,8,0,3,9
207,11,1,17,1,1,55,0,7,0,2,9
208,11,1,17,1,1,55,0,7,0,2,9
209,11,1,20,1,1,53,0,7,0,2,9
210,12,1,20,1,1,52,0,7,0,2,9
211,12,1,20,1,1,51,0,7,0,2,9
212,11,1,23,1,1,52,0,6,0,1,9
213,11,1,23,1,1,50,0,7,0,1,10
214,11,1,24,1,0,49,0,8,0,1,10
215,11,1,23,1,0,50,0,8,0,1,10
216,10,1,25,1,0,50,0,7,0,1,10
217,10,1,24,1,0,52,0,6,0,1,10
218,10,1,23,1,0,54,0,6,0,1,10
219,9,1,24,1,0,54,0,6,0,2,10
220,9,1,23,1,0,54,0,6,0,2,12
221,9,1,22,1,0,55,0,7,0,2,11
222,9,1,22,1,0,55,0,7,0,2,11
223,9,1,21,1,0,57,0,7,0,2,11
224,11,1,21,1,0,57,0,7,0,2,11
225,12,1,19,1,0,60,0,7,0,1,9
226,11,1,19,1,1,59,0,7,0,1,9
227,10,1,19,1,1,59,0,7,0,1,9
228,10,1,17,1,1,61,0,8,0,1,8
229,12,1,16,1,1,58,0,8,0,1,8
230,12,1,16,1,1,59,0,8,0,1,8
231,12,1,14,1,1,61,0,7,0,1,8
232,11,1,12,1,1,62,0,7,0,1,8
233,11,1,11,1,1,63,0,7,0,1,8
234,12,1,10,1,1,64,0,7,0,1,8
235,16,1,8,1,1,62,0,7,0,1,9
236,17,1,8,1,1,60,0,7,0,1,9
237,16,1,7,1,1,62,0,7,0,1,9
238,15,1,7,1,1,61,0,7,0,1,11
239,15,1,6,0,1,61,0,7,0,2,13
240,14,1,6,0,1,61,0,7,0,1,14
241,15,1,5,0,1,62,0,7,0,1,15
242,14,1,6,0,1,62,0,7,0,1,15
243,17,1,6,0,1,59,0,7,0,1,15
244,17,0,6,0,1,59,0,9,0,1,15
245,17,0,5,0,1,59,0,9,0,2,15
246,16,0,6,0,1,59,0,9,0,2,15
247,16,0,6,0,1,59,0,9,0,2,15
248,16,0,6,0,1,59,0,9,0,3,14
249,16,0,7,0,1,58,0,9,0,3,14
250,15,0,7,0,1,57,0,9,0,3,15
251,14,0,7,0,1,57,0,10,0,3,15
252,14,0,7,0,1,56,0,9,0,3,16
253,14,0,8,0,1,55,0,9,0,3,15
254,15,0,7,0,1,54,0,9,0,3,16
255,15,0,7,0,1,54,0,9,0,3,16
256,15,0,8,0,1,55,0,8,0,3,16
257,14,0,7,0,1,57,0,7,0,3,16
258,14,0,7,0,1,58,0,6,0,4,16
259,13,0,7,0,1,58,0,6,0,4,16
260,13,0,8,0,1,56,0,7,0,4,16
261,13,0,8,0,1,56,0,7,0,4,16
262,13,0,8,0,1,56,0,7,0,4,16
263,14,0,8,0,1,56,0,6,0,4,16
264,14,0,9,0,1,56,0,6,0,4,16
265,14,0,9,0,1,53,0,8,0,4,17
266,15,0,9,0,1,52,0,8,0,4,16
267,14,0,9,0,1,53,0,8,0,4,15
268,14,0,9,0,1,53,0,8,0,4,15
269,14,0,8,0,1,53,0,8,0,4,15
270,14,0,8,0,1,52,0,8,0,4,14
271,14,0,8,0,1,51,0,8,0,4,15
272,14,0,8,0,1,50,0,7,0,5,15
273,14,0,8,0,1,50,0,7,0,4,16
274,13,0,8,0,1,52,0,7,0,4,16
275,14,0,8,0,1,52,0,6,0,4,16
276,14,0,7,0,1,52,0,6,0,5,16
277,15,0,7,0,1,53,0,6,0,6,15
