,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,24,12,8,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
1,24,12,8,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
2,24,12,8,6,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1
3,24,12,8,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
4,23,12,8,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
5,23,11,8,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
6,23,11,8,6,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
7,23,11,8,5,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
8,22,11,7,6,5,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1
9,22,11,7,5,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1
10,22,11,8,6,5,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1
11,22,11,7,6,5,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1
12,22,11,7,5,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1
13,22,11,7,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
14,22,11,7,6,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
15,22,11,7,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
16,22,11,7,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
17,21,11,7,5,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1
18,22,11,7,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
19,21,11,7,5,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1
20,22,11,7,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
21,21,11,7,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
22,22,11,7,6,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1
23,22,11,7,6,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
24,22,11,7,6,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
25,22,11,7,6,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
26,22,11,7,6,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
27,21,11,7,5,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
28,22,11,7,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1
29,22,11,8,6,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1
30,23,11,7,6,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1
31,23,11,8,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
32,23,11,8,6,5,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1
33,23,11,7,5,5,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
34,23,11,7,6,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1
35,22,11,8,6,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1
36,23,11,8,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
37,23,11,8,6,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1
38,23,11,8,6,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
39,23,11,8,6,5,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
40,23,11,7,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
41,22,11,7,6,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1
42,23,12,8,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
43,23,11,8,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1
44,23,11,7,6,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1
45,22,11,8,6,5,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1
46,23,11,7,6,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1
