,1,2,3,4,5,6,7,8,9,10,11
1,15,0,21,0,1,71,0,10,0,7,14
2,15,0,21,0,1,69,0,10,0,7,14
3,15,0,21,0,1,69,0,10,0,7,14
4,15,0,21,0,1,68,0,10,0,7,14
5,15,0,21,0,1,70,0,10,0,7,12
6,15,0,22,0,1,69,0,10,0,7,12
7,15,0,22,0,1,70,0,9,0,7,12
8,14,0,23,0,1,70,0,9,0,7,11
9,15,0,23,0,1,70,0,8,0,7,11
10,15,0,22,0,1,69,0,8,0,7,12
11,14,0,22,0,1,70,0,9,0,7,11
12,13,0,22,0,1,71,0,9,0,7,13
13,12,0,22,0,1,71,0,9,0,7,13
14,13,0,21,0,1,71,0,9,0,7,13
15,13,0,20,0,1,69,0,9,0,7,14
16,13,0,20,0,0,70,0,9,0,6,15
17,13,0,20,0,0,70,0,9,0,6,15
18,13,0,19,0,0,71,0,9,0,6,14
19,12,0,19,0,0,72,0,8,0,6,14
20,12,0,19,0,0,71,0,8,0,6,14
21,12,0,18,0,0,71,0,8,0,6,15
22,12,0,18,0,0,70,0,8,0,7,15
23,14,0,17,0,0,68,0,8,0,7,16
24,15,0,18,0,0,67,0,9,0,6,15
25,16,0,20,0,0,63,0,10,0,6,16
26,17,0,21,0,0,62,0,10,0,6,16
27,16,0,23,0,0,61,0,10,0,6,16
28,15,0,24,0,0,62,0,10,0,6,15
29,15,0,25,0,0,63,0,10,0,5,15
30,15,0,25,0,0,58,0,10,0,5,16
31,17,0,28,0,0,55,0,10,0,5,17
32,16,0,28,0,0,54,0,10,0,5,18
33,17,0,28,0,0,53,0,9,0,4,18
34,17,0,26,0,0,54,0,9,0,4,18
35,17,0,26,0,0,54,0,7,0,4,18
36,17,0,28,0,0,55,0,7,0,4,16
37,18,0,30,0,0,52,0,7,1,4,14
38,19,0,27,0,1,53,0,6,1,5,15
39,18,0,28,0,1,52,0,6,1,5,16
40,18,0,27,0,1,53,0,6,1,5,16
41,19,0,27,0,1,54,0,5,1,5,15
42,17,0,28,0,1,55,0,5,1,4,16
43,17,0,28,0,1,56,0,4,1,4,19
44,18,0,30,0,1,55,0,4,1,5,19
45,20,0,28,0,1,54,0,4,1,5,18
46,21,0,27,0,1,54,0,4,1,5,18
47,21,0,27,0,1,56,0,4,0,5,20
48,22,0,26,0,1,55,0,4,0,5,20
49,22,0,27,0,1,58,0,4,0,4,19
50,21,0,27,0,1,57,0,4,0,4,18
51,20,0,24,0,1,61,0,5,0,5,17
52,19,0,26,0,1,60,0,5,0,4,16
53,16,0,26,0,1,62,0,4,0,5,17
54,15,0,27,0,1,62,0,4,0,5,17
55,15,0,25,0,1,65,0,2,0,5,17
56,14,0,25,0,1,66,0,1,0,5,17
57,14,0,26,0,1,66,0,1,0,5,17
58,14,0,27,0,1,64,0,1,0,5,17
59,14,0,27,0,1,63,0,1,0,6,16
60,13,0,25,0,1,64,0,2,0,7,16
61,15,0,25,0,1,63,0,2,0,6,15
62,15,0,25,0,1,64,0,2,0,6,15
63,15,0,25,0,1,64,0,2,0,6,15
64,16,0,24,0,1,65,0,2,0,6,14
65,17,0,24,0,1,65,0,2,0,6,13
66,17,0,24,0,1,66,0,0,0,6,13
67,18,0,22,0,0,68,0,0,0,5,14
68,16,0,22,0,0,69,0,1,0,6,15
69,14,0,20,0,0,69,0,1,0,6,16
70,14,0,20,0,0,69,0,1,0,6,16
71,15,0,20,0,0,67,0,1,0,6,15
72,15,0,19,0,0,66,0,1,0,6,15
73,15,0,20,0,0,64,0,2,0,6,14
74,15,0,20,0,0,63,0,2,0,6,14
75,15,0,18,0,0,62,0,3,0,6,15
76,15,0,18,0,0,60,0,3,0,6,15
77,18,0,18,0,0,58,0,3,0,5,15
78,18,0,19,0,0,60,0,2,0,5,14
79,19,0,18,0,1,59,0,3,0,5,15
80,17,0,16,0,1,59,0,3,0,5,16
81,19,0,15,0,1,62,0,2,0,5,16
82,19,0,15,0,1,64,0,2,0,5,15
83,17,0,16,0,1,62,0,2,0,6,13
84,17,0,16,0,1,62,0,2,0,6,14
85,17,0,17,0,1,59,0,2,0,6,15
86,15,0,15,0,1,62,0,3,0,5,15
87,15,0,15,0,1,62,0,3,0,5,15
88,16,0,14,0,1,61,0,4,0,6,15
89,15,0,14,0,2,62,0,4,0,3,15
90,18,0,14,0,2,61,0,4,0,3,15
91,17,0,15,0,2,59,0,4,0,3,14
92,16,0,13,0,2,61,0,4,0,3,16
93,15,0,13,0,2,60,0,4,0,3,17
94,15,0,13,0,2,60,0,4,0,3,17
95,16,0,12,0,2,58,0,4,0,3,18
96,17,0,11,0,2,58,0,4,0,3,19
97,16,0,10,0,2,59,0,4,0,3,19
98,15,0,10,0,2,60,0,4,0,3,20
99,15,0,10,0,2,59,0,4,0,3,20
100,15,0,10,0,2,59,0,2,0,4,19
101,15,0,11,0,2,59,0,2,0,4,19
102,14,0,11,0,2,61,0,2,0,3,20
103,13,0,11,0,2,60,0,2,0,4,20
104,14,0,11,0,1,60,0,2,0,4,18
105,14,0,11,0,1,61,0,1,0,4,18
106,13,0,11,0,1,62,0,1,0,4,20
107,13,0,11,0,1,60,0,1,0,4,20
108,13,0,11,0,1,61,0,1,0,4,20
109,13,0,12,0,1,61,0,2,0,4,18
110,13,0,14,0,1,61,0,2,0,4,18
111,12,0,15,0,1,58,0,2,0,5,17
112,12,0,15,0,1,57,0,2,0,5,18
113,12,0,17,0,1,57,0,2,0,5,16
114,12,0,17,0,1,57,0,1,0,5,17
115,12,0,18,0,1,56,0,1,0,5,17
116,12,0,18,0,1,57,0,1,0,5,17
117,13,0,19,0,1,55,0,1,0,5,17
118,13,1,19,0,1,53,0,1,0,5,18
119,13,1,20,0,1,52,0,1,0,6,17
120,14,1,18,0,1,53,0,1,0,6,17
121,14,1,17,0,1,54,0,1,0,6,17
122,14,1,17,0,1,55,0,1,0,5,17
123,14,1,17,0,1,56,0,1,0,5,17
124,14,1,18,0,1,56,0,1,0,5,14
125,14,1,18,0,1,59,0,1,0,5,14
126,14,1,18,0,1,58,0,1,0,5,14
127,13,1,18,0,1,59,0,1,0,5,14
128,13,1,18,0,1,59,0,1,0,5,14
129,12,1,18,0,1,61,0,1,0,5,13
130,12,1,18,0,0,62,0,1,0,5,13
131,12,1,16,0,0,63,0,1,0,5,13
132,11,1,16,0,0,62,0,2,0,5,13
133,11,1,17,0,0,62,0,2,0,5,13
134,11,1,17,0,0,62,0,3,0,5,12
135,13,1,17,0,0,59,0,3,0,5,12
136,12,1,17,0,0,61,0,3,0,5,12
137,12,1,17,0,0,60,0,3,0,5,13
138,13,1,16,0,0,60,0,2,0,6,13
139,14,1,16,0,0,57,0,3,0,5,13
140,15,1,16,0,0,56,0,3,0,5,13
141,15,1,15,0,0,57,0,3,0,5,13
142,15,1,14,0,0,58,0,3,0,5,13
143,15,1,14,0,1,58,0,4,0,5,12
144,17,1,13,0,1,56,0,4,0,5,12
145,17,1,13,0,1,55,0,4,0,5,12
146,16,1,13,0,1,60,0,4,0,5,10
147,16,1,14,0,1,58,0,4,0,5,10
148,16,1,14,0,1,58,0,4,0,4,11
149,16,1,14,0,1,59,0,4,0,4,10
150,17,1,13,0,1,59,0,4,0,4,12
151,17,1,13,0,1,58,0,4,0,4,13
152,17,0,14,0,1,58,0,4,0,4,15
153,16,0,14,0,1,60,0,4,0,4,15
154,16,0,13,0,1,65,0,4,0,4,15
155,16,0,13,0,1,67,0,4,0,4,14
156,16,0,13,0,1,67,0,4,0,4,14
157,16,0,13,0,1,67,0,4,0,4,14
158,18,0,13,0,1,67,0,4,0,4,14
159,18,0,13,0,0,66,0,3,0,5,13
160,18,0,13,0,1,64,0,3,0,5,13
161,18,0,13,0,1,65,0,3,0,5,13
162,18,0,14,0,1,64,0,3,0,5,13
163,18,0,14,0,1,63,0,3,0,5,13
164,18,0,14,0,1,62,0,3,0,5,13
165,17,0,14,0,1,61,0,3,0,6,13
166,16,0,14,0,1,60,0,4,0,6,14
167,15,0,16,0,1,59,0,4,0,5,14
168,16,0,15,0,1,58,0,4,0,5,15
169,14,0,15,0,1,58,0,4,0,5,16
170,14,0,15,0,1,57,0,4,0,5,16
171,13,0,15,0,1,59,0,4,0,4,17
172,13,0,15,0,2,58,0,4,0,4,15
173,12,0,15,0,2,60,0,2,0,4,15
174,11,0,14,0,2,60,0,2,0,4,15
175,10,0,15,0,2,63,0,2,0,4,14
176,10,0,15,0,2,62,0,2,0,4,12
177,11,0,13,0,2,61,0,2,0,4,13
178,11,0,14,0,2,59,0,2,0,4,14
179,11,0,14,0,3,59,0,2,0,3,15
180,12,0,13,0,3,58,0,3,0,3,15
181,13,0,14,0,3,54,0,3,0,3,16
182,12,0,14,0,3,56,0,3,0,3,17
183,12,0,13,0,3,57,0,3,0,3,17
184,13,0,12,0,3,55,0,3,0,3,17
185,14,0,12,0,3,56,0,3,0,3,15
186,13,0,13,0,2,57,0,2,0,3,15
187,13,0,13,0,1,59,0,2,0,4,14
188,13,0,14,0,1,58,0,1,0,4,15
189,12,0,14,0,1,61,0,1,0,4,15
190,11,0,14,0,1,61,0,2,0,4,16
191,12,0,14,0,1,60,0,2,0,4,16
192,12,0,14,0,1,58,0,2,0,4,15
193,11,0,13,0,1,59,0,3,0,5,15
194,12,0,13,0,1,59,0,3,0,3,15
195,12,0,13,0,1,58,0,3,0,3,16
196,12,0,12,0,1,59,1,3,0,3,16
197,12,0,13,0,1,58,0,4,0,2,15
198,12,0,13,0,1,58,0,4,0,2,15
199,13,0,13,0,1,59,0,4,0,1,15
200,14,0,13,0,1,57,0,4,0,1,16
201,13,0,13,0,1,60,0,5,0,1,15
202,13,0,13,0,1,62,0,5,0,1,14
203,13,0,13,0,2,61,0,6,0,2,13
204,13,0,13,0,2,61,0,6,0,2,13
205,13,0,12,0,2,64,0,6,0,2,13
206,13,0,12,0,2,64,0,6,0,2,13
207,12,0,13,0,2,64,0,6,0,2,13
208,13,0,12,0,2,64,0,6,0,2,13
209,12,0,12,0,2,64,0,7,0,1,12
210,11,0,13,0,2,63,0,7,0,1,12
211,11,0,13,0,2,62,0,7,0,1,13
212,11,0,14,0,2,63,0,7,0,1,13
213,12,0,16,0,2,61,0,7,0,1,13
214,12,0,15,0,2,62,0,7,0,0,13
215,13,0,15,0,2,63,0,7,0,1,12
216,14,0,15,0,2,62,0,7,0,1,12
217,14,0,16,0,2,62,0,6,0,1,12
218,15,0,18,0,2,63,0,6,0,1,13
219,15,0,17,0,2,63,0,6,0,1,13
220,16,0,16,0,2,64,0,7,0,2,13
221,16,0,18,0,2,64,0,6,0,2,12
222,15,0,19,0,2,66,0,6,0,2,12
223,16,0,17,0,2,66,0,6,0,2,12
224,17,0,17,0,2,67,0,6,0,2,12
225,14,0,17,0,2,68,0,6,0,2,13
226,14,0,16,0,2,68,0,6,0,2,13
227,13,0,16,0,2,67,0,6,0,3,12
228,13,0,17,0,2,66,0,7,0,4,11
229,13,0,17,0,2,63,0,7,0,5,11
230,15,1,17,0,2,63,0,7,0,5,11
231,15,1,17,0,2,62,0,7,0,5,11
232,16,1,16,0,2,61,0,7,0,5,11
233,16,1,16,0,2,62,0,7,0,6,10
234,17,1,16,0,2,62,0,6,0,6,10
235,18,1,16,0,2,61,0,5,0,6,10
236,19,1,16,0,2,60,0,5,0,5,11
237,21,1,16,0,2,61,0,5,0,5,9
238,21,1,16,0,2,60,0,4,0,5,9
239,21,1,16,0,2,61,0,4,0,5,9
240,22,1,17,0,2,60,0,4,0,5,10
241,22,1,16,0,2,62,0,4,0,6,9
242,20,1,17,0,2,64,0,4,0,6,9
243,20,1,17,0,2,64,0,4,0,6,9
244,20,1,17,0,2,64,0,4,0,6,9
245,21,1,17,0,2,64,0,4,0,6,9
246,20,1,17,0,1,65,0,4,0,6,10
247,21,1,17,0,1,64,0,3,0,6,11
248,21,1,18,0,1,63,0,3,0,6,11
249,20,1,18,0,1,64,0,3,0,6,11
250,18,1,19,0,1,64,0,4,0,6,11
251,19,1,19,0,1,65,0,4,0,6,9
252,21,1,19,0,1,62,0,5,0,6,10
253,22,1,19,0,1,63,0,4,0,6,10
254,21,0,18,0,1,62,0,4,0,7,13
255,20,0,20,0,1,61,0,5,0,7,13
256,20,0,22,0,1,62,0,5,0,7,12
257,21,0,22,0,1,61,0,5,0,7,13
258,21,0,23,0,1,61,0,5,0,7,12
259,22,0,23,0,1,60,0,5,0,7,13
260,24,0,23,0,1,60,0,5,0,6,12
261,24,0,22,0,1,60,0,5,0,7,12
262,24,0,22,1,1,60,0,5,0,6,13
263,24,0,21,1,1,62,0,5,0,6,14
